GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Total: - Speak only English
HD02_VD02,Margin of Error; Total: - Speak only English
HD01_VD03,Estimate; Total: - Spanish:
HD02_VD03,Margin of Error; Total: - Spanish:
HD01_VD04,"Estimate; Total: - Spanish: - Speak English ""very well"""
HD02_VD04,"Margin of Error; Total: - Spanish: - Speak English ""very well"""
HD01_VD05,"Estimate; Total: - Spanish: - Speak English less than ""very well"""
HD02_VD05,"Margin of Error; Total: - Spanish: - Speak English less than ""very well"""
HD01_VD06,"Estimate; Total: - French, Haitian, or Cajun:"
HD02_VD06,"Margin of Error; Total: - French, Haitian, or Cajun:"
HD01_VD07,"Estimate; Total: - French, Haitian, or Cajun: - Speak English ""very well"""
HD02_VD07,"Margin of Error; Total: - French, Haitian, or Cajun: - Speak English ""very well"""
HD01_VD08,"Estimate; Total: - French, Haitian, or Cajun: - Speak English less than ""very well"""
HD02_VD08,"Margin of Error; Total: - French, Haitian, or Cajun: - Speak English less than ""very well"""
HD01_VD09,Estimate; Total: - German or other West Germanic languages:
HD02_VD09,Margin of Error; Total: - German or other West Germanic languages:
HD01_VD10,"Estimate; Total: - German or other West Germanic languages: - Speak English ""very well"""
HD02_VD10,"Margin of Error; Total: - German or other West Germanic languages: - Speak English ""very well"""
HD01_VD11,"Estimate; Total: - German or other West Germanic languages: - Speak English less than ""very well"""
HD02_VD11,"Margin of Error; Total: - German or other West Germanic languages: - Speak English less than ""very well"""
HD01_VD12,"Estimate; Total: - Russian, Polish, or other Slavic languages:"
HD02_VD12,"Margin of Error; Total: - Russian, Polish, or other Slavic languages:"
HD01_VD13,"Estimate; Total: - Russian, Polish, or other Slavic languages: - Speak English ""very well"""
HD02_VD13,"Margin of Error; Total: - Russian, Polish, or other Slavic languages: - Speak English ""very well"""
HD01_VD14,"Estimate; Total: - Russian, Polish, or other Slavic languages: - Speak English less than ""very well"""
HD02_VD14,"Margin of Error; Total: - Russian, Polish, or other Slavic languages: - Speak English less than ""very well"""
HD01_VD15,Estimate; Total: - Other Indo-European languages:
HD02_VD15,Margin of Error; Total: - Other Indo-European languages:
HD01_VD16,"Estimate; Total: - Other Indo-European languages: - Speak English ""very well"""
HD02_VD16,"Margin of Error; Total: - Other Indo-European languages: - Speak English ""very well"""
HD01_VD17,"Estimate; Total: - Other Indo-European languages: - Speak English less than ""very well"""
HD02_VD17,"Margin of Error; Total: - Other Indo-European languages: - Speak English less than ""very well"""
HD01_VD18,Estimate; Total: - Korean:
HD02_VD18,Margin of Error; Total: - Korean:
HD01_VD19,"Estimate; Total: - Korean: - Speak English ""very well"""
HD02_VD19,"Margin of Error; Total: - Korean: - Speak English ""very well"""
HD01_VD20,"Estimate; Total: - Korean: - Speak English less than ""very well"""
HD02_VD20,"Margin of Error; Total: - Korean: - Speak English less than ""very well"""
HD01_VD21,"Estimate; Total: - Chinese (incl. Mandarin, Cantonese):"
HD02_VD21,"Margin of Error; Total: - Chinese (incl. Mandarin, Cantonese):"
HD01_VD22,"Estimate; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English ""very well"""
HD02_VD22,"Margin of Error; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English ""very well"""
HD01_VD23,"Estimate; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English less than ""very well"""
HD02_VD23,"Margin of Error; Total: - Chinese (incl. Mandarin, Cantonese): - Speak English less than ""very well"""
HD01_VD24,Estimate; Total: - Vietnamese:
HD02_VD24,Margin of Error; Total: - Vietnamese:
HD01_VD25,"Estimate; Total: - Vietnamese: - Speak English ""very well"""
HD02_VD25,"Margin of Error; Total: - Vietnamese: - Speak English ""very well"""
HD01_VD26,"Estimate; Total: - Vietnamese: - Speak English less than ""very well"""
HD02_VD26,"Margin of Error; Total: - Vietnamese: - Speak English less than ""very well"""
HD01_VD27,Estimate; Total: - Tagalog (incl. Filipino):
HD02_VD27,Margin of Error; Total: - Tagalog (incl. Filipino):
HD01_VD28,"Estimate; Total: - Tagalog (incl. Filipino): - Speak English ""very well"""
HD02_VD28,"Margin of Error; Total: - Tagalog (incl. Filipino): - Speak English ""very well"""
HD01_VD29,"Estimate; Total: - Tagalog (incl. Filipino): - Speak English less than ""very well"""
HD02_VD29,"Margin of Error; Total: - Tagalog (incl. Filipino): - Speak English less than ""very well"""
HD01_VD30,Estimate; Total: - Other Asian and Pacific Island languages:
HD02_VD30,Margin of Error; Total: - Other Asian and Pacific Island languages:
HD01_VD31,"Estimate; Total: - Other Asian and Pacific Island languages: - Speak English ""very well"""
HD02_VD31,"Margin of Error; Total: - Other Asian and Pacific Island languages: - Speak English ""very well"""
HD01_VD32,"Estimate; Total: - Other Asian and Pacific Island languages: - Speak English less than ""very well"""
HD02_VD32,"Margin of Error; Total: - Other Asian and Pacific Island languages: - Speak English less than ""very well"""
HD01_VD33,Estimate; Total: - Arabic:
HD02_VD33,Margin of Error; Total: - Arabic:
HD01_VD34,"Estimate; Total: - Arabic: - Speak English ""very well"""
HD02_VD34,"Margin of Error; Total: - Arabic: - Speak English ""very well"""
HD01_VD35,"Estimate; Total: - Arabic: - Speak English less than ""very well"""
HD02_VD35,"Margin of Error; Total: - Arabic: - Speak English less than ""very well"""
HD01_VD36,Estimate; Total: - Other and unspecified languages:
HD02_VD36,Margin of Error; Total: - Other and unspecified languages:
HD01_VD37,"Estimate; Total: - Other and unspecified languages: - Speak English ""very well"""
HD02_VD37,"Margin of Error; Total: - Other and unspecified languages: - Speak English ""very well"""
HD01_VD38,"Estimate; Total: - Other and unspecified languages: - Speak English less than ""very well"""
HD02_VD38,"Margin of Error; Total: - Other and unspecified languages: - Speak English less than ""very well"""
